Circuit Name,No of Lines,No of Gates,Fault Model,Actual Generations,Total Faults,Detected Faults,Fault Coverage,Minimal Vector Set,Test Set Size,Execution Time,Time Limit Exceeded,Minimization Skipped,Detected Faults List
0410184_169,14,46,SMGF,1,46,46,100.0,"[5051, 15155, 5113, 5049, 5015, 2995, 14172, 3291, 2971, 2903, 15152, 13521, 11085, 2893, 470, 11081, 2650, 2489, 2473, 13394, 4499, 4194, 211, 12370, 12340, 8539, 8478, 5172]",28,0.0629999999946449,False,True,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
3_17_13,3,6,SMGF,1,6,6,100.0,"[5, 0]",2,0.0,False,False,"[True, True, True, True, True, True]"
4_49_17,4,12,SMGF,20,12,9,75.0,"[10, 3]",2,0.25,False,False,"[True, True, True, False, True, True, True, True, True, True, False, False]"
4gt12-v0_86,5,14,SMGF,1,14,14,100.0,"[24, 23]",2,0.0,False,False,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
alu-v0_26,5,6,SMGF,1,6,6,100.0,"[23, 6]",2,0.0,False,False,"[True, True, True, True, True, True]"
cnt3-5_180,16,20,SMGF,1,20,20,100.0,"[43302, 22366, 55292, 63146, 43934, 63356, 63018, 55558, 51779, 43925, 22296, 6687, 63093, 36742, 38517, 28862, 23626, 5916, 63114, 63112, 38586, 34253, 23563, 4725, 57975, 30905, 6673, 36740, 57568, 43322, 2272, 26899]",32,0.015000000013969839,False,True,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
cycle10_293,39,78,SMGF,1,78,78,100.0,"[520159300375, 543799365744, 514763148087, 248320370000, 543799334801, 525744655333, 205080231872, 204543360962, 524670913509, 445774440002, 256398060601, 493822271497, 102955977736, 520184643493, 247808126004, 520184643122, 514027687213, 514777379307, 388306226149, 508206236973, 496795097684, 496763586928, 445773391851, 271771568913, 247808060468, 115342133529, 477861539767, 244289076135, 115358632711, 508189460455, 508189458915, 496618592113, 458988918437, 244289969354, 409915705335, 376531819191, 102955714251, 102955713602, 458988918400, 431499241864, 428071443028, 221885679730, 221885679728, 196181330952, 361586980279, 359351949908, 301581714953, 161840368941, 8353753833, 184111011456, 161855826312, 133184962098, 106850122513, 95758686893, 94161616666, 212682688604, 95750298285, 459613970087, 416091639969, 324905539273, 34796816665, 317039846480, 8336976259, 459613968002, 361589902636, 212683212808, 212682686546, 133185091565, 67121846129, 40354506946, 23156301002, 95750334851, 31184940983, 6569134825, 40354496051, 133185115776, 555124634]",77,0.40700000000651926,False,True,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
cycle10_2_110,12,19,SMGF,20,19,9,47.368421052631575,"[3958, 3703, 3933, 3666, 3263, 3255, 3426, 3382, 3326, 3190, 1621, 1527, 1215, 3385, 3293, 3245, 3129, 1337, 387, 1530, 2356, 2108, 720, 304]",24,0.264999999984866,False,True,"[False, False, False, False, False, True, True, True, True, False, False, False, False, False, True, True, True, True, True]"
cycle17_3_112,20,48,SMGF,20,48,28,58.333333333333336,"[917415, 655271, 917295, 916799, 916791, 916783, 916743, 654783, 654759, 654655, 654647, 654599, 916415, 916407, 916399, 916391, 916375, 916359, 916287, 916279, 916271, 916263, 916247, 915719, 654143, 654135, 654103]",27,0.5470000000204891,False,True,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
graycode6_47,6,5,SMGF,1,5,5,100.0,"[59, 30, 58]",3,0.0,False,False,"[True, True, True, True, True]"
